X,Y,Z,TimeStamp,RunId,Id
10.603960396039604,-0.6237623762376238,-0.3564356435643564,1409058759513,10,15565
10.475247524752476,-0.900990099009901,-0.36633663366336633,1409058759533,10,15566
10.643564356435643,-0.9504950495049505,-0.12871287128712872,1409058759552,10,15567
10.693069306930694,-0.8316831683168316,-0.04950495049504951,1409058759572,10,15568
10.514851485148515,-0.5544554455445545,-0.44554455445544555,1409058759591,10,15569
10.425742574257425,-0.6435643564356436,-0.5346534653465347,1409058759611,10,15570
10.584158415841584,-0.009900990099009901,-0.900990099009901,1409058759631,10,15571
10.811881188118813,0.19801980198019803,-2.198019801980198,1409058759650,10,15572
11.099009900990099,0.504950495049505,-2.9702970297029703,1409058759670,10,15573
11.188118811881187,0.31683168316831684,-2.722772277227723,1409058759689,10,15574
11.198019801980198,0.5247524752475248,-2.8316831683168315,1409058759709,10,15575
11.386138613861386,0.5544554455445545,-2.8514851485148514,1409058759728,10,15576
11.346534653465346,0.6336633663366337,-2.910891089108911,1409058759748,10,15577
11.207920792079207,0.5544554455445545,-2.4257425742574257,1409058759767,10,15578
11.415841584158416,0.40594059405940597,-2.495049504950495,1409058759787,10,15579
11.316831683168317,0.5148514851485149,-2.3564356435643563,1409058759806,10,15580
11.435643564356436,0.40594059405940597,-2.3069306930693068,1409058759826,10,15581
11.356435643564357,0.504950495049505,-2.227722772277228,1409058759845,10,15582
11.534653465346535,0.4752475247524752,-2.217821782178218,1409058759865,10,15583
11.524752475247524,0.6831683168316832,-2.396039603960396,1409058759884,10,15584
11.613861386138614,0.46534653465346537,-2.5841584158415842,1409058759904,10,15585
11.485148514851485,0.48514851485148514,-2.4653465346534653,1409058759923,10,15586
11.504950495049505,0.5742574257425742,-2.2772277227722775,1409058759943,10,15587
11.623762376237623,0.5445544554455446,-2.207920792079208,1409058759963,10,15588
11.762376237623762,0.5544554455445545,-2.207920792079208,1409058759982,10,15589
11.633663366336634,0.32673267326732675,-2.1584158415841586,1409058760002,10,15590
11.643564356435643,0.6930693069306931,-1.99009900990099,1409058760021,10,15591
11.663366336633663,0.594059405940594,-2.108910891089109,1409058760041,10,15592
11.534653465346535,0.7029702970297029,-2.1485148514851486,1409058760060,10,15593
